Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
1:0	i6lj	title		La Création	1	Ce titre peut aussi être traduit par : « Comment Dieu a créé le monde » ou « Comment Dieu a-t-il créé le monde ? ».
1:1	lm48			au commencement	1	Cela peut vouloir dire « le début de toute chose » avant que quoi que ce soit n’existe, mis à part Dieu.
1:1	qyk4			créé	1	Ici, ce mot signifie que Dieu l’a fait à partir de rien.
1:1	l2hb			univers	1	Cela comprend tout ce que Dieu a créé, sur la terre ou dans les cieux, tant les choses visibles que celles qui sont invisibles.
1:1	zd15			la terre	1	Le mot « terre » fait référence au monde entier dans lequel les gens vivent.
1:1	uzic			ténèbres	1	L’obscurité était totale. Il n’y avait pas de lumière du tout, puisque Dieu n’avait pas encore créé la lumière.
1:1	zwj2			vide	1	Dieu n’avait encore rien créé, si ce n’est la terre brute, recouverte par l’eau.
1:1	ffdv			sans forme	1	Il n’y avait pas de forme reconnaissable : juste de l’eau qui recouvrait tout.
1:1	lr8g			L’Esprit de Dieu	1	L’Esprit de Dieu, parfois appelé le Saint-Esprit, était présent au commencement. Il se déplaçait librement au-dessus de la terre, afin de créer tout ce qu’il avait prévu de faire.
1:2	n2rx			Dieu a dit	1	Dieu a créé la lumière en prononçant un simple ordre comme celui-ci : « Que la lumière soit ! », autrement dit « Lumière : viens à l’existence ! ».
1:2	zzmo		rc://*/ta/man/translate/figs-quotations	Alors, Dieu a dit : « Que la lumière soit ! »	1	C’est une citation directe. On peut aussi l’exprimer comme une citation indirecte : « Alors Dieu a dit qu’il devrait y avoir de la lumière ».
1:2	ux0k		rc://*/ta/man/translate/figs-imperative	Que la lumière soit !	1	L’ordre a été réalisé immédiatement parce que c’est Dieu qui l’a prononcé. Il peut être plus naturel de traduire cela comme une déclaration certaine de se réaliser. Par exemple, vous pouvez traduire cela ainsi : « Lumière : existe ! »
1:2	pudg			la lumière	1	Ici, la lumière était une lumière spécialement créée par Dieu. En effet, le soleil n’a été créé que plus tard.
1:2	q7zf			était bonne	1	C’est une phrase répétée souvent dans l’histoire de la création. Elle nous dit que chaque étape de la création a plu à Dieu, et a servi son plan et son but.
1:2	dtu0			création	1	Ce mot signifie ici la période de six jours durant laquelle Dieu a amené à l’existence tout ce qui existe.
1:3	miua			au deuxième jour	1	L’œuvre créatrice de Dieu était ordonnée, elle avait un but, mais aussi un ordre. Les choses que Dieu a créées chaque jour s’appuyaient et dépendaient des actes des jours précédents.
1:3	h418			Qu’il y ait une voûte entre les eaux.	1	Dieu a créé le ciel en prononçant un ordre.
1:3	htqa			ciel	1	Ce terme fait référence à tout l’espace au-dessus de la terre, y compris l’air que l’on respire et les cieux.
1:4	mbj9			Le troisième jour	1	Le jour suivant dans la série de jours pendant lesquels Dieu a préparé la terre pour accueillir la vie.
1:4	hpg8			Que les eaux s’assemblent en un seul endroit et que la terre ferme apparaisse	1	Dieu a créé la terre ferme en prononçant un ordre.
1:4	sozb			terre	1	Ce mot est utilisé ici pour parler de la terre ou du sol qui constitue la terre ferme.
1:5	oefy		rc://*/ta/man/translate/figs-quotations	Alors Dieu a dit : « Que la terre produise toutes sortes d’arbres et de plantes ».	1	C’est une citation directe. On peut aussi l’exprimer comme une citation indirecte : « Alors Dieu a dit que la terre allait devoir produire toutes sortes d’arbres et de plantes. »
1:5	pvo1			Dieu a dit :	1	Dieu a créé toute la végétation en prononçant un ordre.
1:5	a4rn		rc://*/ta/man/translate/figs-imperative	Que la terre produise toutes sortes d’arbres et de plantes	1	Cet ordre s’est réalisé immédiatement parce que c’est Dieu qui l’a prononcé. Il peut être plus naturel de traduire cela comme une déclaration certaine de se réaliser. Par exemple, vous pouvez traduire cela ainsi : « La terre va produire toutes sortes d’arbres et de plantes. »
1:5	wdj7			toutes sortes	1	La grande diversité d’espèces et de sortes de plantes et d’arbres.
1:5	bjnw			c’était bon	1	Cette phrase est souvent répétée dans l’histoire de la création. Elle nous dit que chaque étape de la création a plu à Dieu, et a servi son plan et son but.
1:6	hmg5			Le quatrième jour	1	Le quatrième jour de la série de six jours pendant laquelle Dieu a créé.
1:6	ef9m			Qu’il y ait des lumières dans le ciel	1	Dieu a créé le soleil, la lune et les étoiles en prononçant des ordres.
1:6	aagi			lumières	1	Des objets brillants dans le ciel pour éclairer la terre.
1:6	bcr2			le jour et la nuit, les saisons et les années	1	Dieu a créé les lumières pour marquer les jours, les nuits, les saisons et les années. Ces périodes sont cycliques et continuent jusqu’à la fin des temps.
1:6	ag3s			créés	1	Ce terme est utilisé ici pour indiquer que les lumières ont été faites à partir de rien.
1:7	z7k7			Le cinquième jour	1	Dieu continue la création qu’il a commencée quatre jours auparavant.
1:7	jwbj			Qu’il y ait des êtres vivants dans les eaux et des oiseaux dans le ciel	1	Dieu a créé les créatures vivant dans l’eau et les oiseaux en prononçant un ordre.
1:7	cgug			tout ce qui nage	1	Non seulement les poissons, mais tous les êtres vivants qui vivent dans l’eau. Ils existent tous parce que Dieu a choisi de les créer.
1:7	qe0j			tous ce qui vole dans le ciel	1	Dieu a créé toute la variété étonnante de types, de genres, de tailles et de couleurs d’oiseaux.
1:7	h8ep			c’était bon	1	Cette phrase répétée tout au long de la création montre que chaque étape s’est déroulée exactement comme prévue selon le plan, la sagesse et l’objectif de Dieu.
1:7	udw3			il les a bénis	1	Dieu a exprimé son désir de les voir prospérer dans le monde où il les a placés.
1:8	d5uu			Le sixième jour	1	Le sixième jour de la série de six jours pendant lesquels Dieu a créé.
1:8	x100		rc://fr/ta/man/translate/figs-imperative	Qu’il y ait toutes sortes d’animaux terrestres !	1	C’est un ordre qui a été exécuté immédiatement parce qu’il avait été prononcé par Dieu. Il peut être plus naturel de traduire cela par une déclaration certaine que cela se produira sans aucun doute. Par exemple, vous pouvez traduire ceci comme suit : « Il y aura toutes sortes d’animaux terrestres ! »
1:8	bd6q			toutes sortes	1	Ici, toutes les espèces d’animaux indiquent la variété aussi bien que la spécificité.
1:8	gvpm			animaux terrestres	1	Toutes les espèces d’animaux qui vivent sur la surface de la terre.
1:8	dvnt			bétail	1	Les animaux qui vont contribuer à la production agricole.
1:8	y7tq			reptiles, les insectes	1	Les animaux qui rampent sur la terre.
1:8	pi7u			animaux sauvages	1	Les animaux qui ne vivent pas avec les gens, parce qu’ils en ont peur ou parce que les gens les chassent.
1:8	ee5k			c’était bon	1	Cette phrase répétée tout au long de la création montre que chaque étape s’est déroulée exactement comme prévu, selon le plan, la sagesse et l’objectif de Dieu.
1:9	k7lb			Faisons l’homme à notre image	1	Cette déclaration est au pluriel parce que le nom de Dieu employé dans le texte (Élohim – le Dieu Suprême) est pluriel. La Bible nous enseigne qu’il n’y a qu’un Dieu unique en trois personnes. On pourrait penser ici que Dieu était en train de parler au Fils et au Saint-Esprit qui ont pris part à la création.
1:9	eihd			Faisons des êtres humains	1	Cela indique la décision délibérée de Dieu de créer l’homme d’une manière particulière, dans un but particulier. Vous pourriez traduire cela comme : « Nous ferons des êtres humains » ou « Nous ferons l’homme ».
