Book	Chapter	Verse	Heading TLX	Heading TSX
PHP	1	1	Introduction	Paul salue les Philippiens
PHP	1	3	L’amour de Paul pour les Philippiens	Paul aime les Philippiens
PHP	1	12	L’emprisonnement de Paul fait progresser l’Évangile	Les difficultés de Paul font avancer l’annonce de l’Évangile
PHP	1	21		
PHP	1	27		
PHP	2	1	Rechercher l’humilité de Jésus-Christ	Les Philippiens doivent être aussi humbles que le Messie
PHP	2	5		
PHP	2	12	Briller comme des lumières dans le monde	Les chrétiens doivent être comme des lumières parmi les autres humains
PHP	2	19	Timothée et Épaphrodite, soutiens de Paul	Paul espère renvoyer Timothée et Épaphrodite à Philippes
PHP	2	25		
PHP	3	1	La vraie manière de plaire à Dieu	Comment véritablement plaire à Dieu ?
PHP	3	7		
PHP	3	12	La vie chrétienne comme une course à pied	Paul compare la vie chrétienne à une course à pied
PHP	3	17		
PHP	4	2	La joie et la paix des chrétiens	Les chrétiens doivent rechercher la joie et la paix de Dieu
PHP	4	4		
PHP	4	8		
PHP	4	10	Paul remercie les Philippiens pour leur générosité	Paul remercie les Philippiens pour leurs cadeaux
PHP	4	14		
PHP	4	20	Conclusion	Derniers mots
PHP				
PHP				
PHP				
PHP				
PHP				
PHP				
PHP				
PHP				
PHP				
PHP				
PHP				
PHP				
PHP				
