Reference	ID	Tags	Quote	Occurrence	Question	Response
front:intro	gtn1			0	# Questions d'étude sur l'Évangile de Marc. Posez-vous les questions suivantes en lisant attentivement ce livre, et priez Dieu qu'il vous ouvre les yeux afin que vous perceviez clairement son message.	
1:1	hn5n	basic,interpret	ἀρχὴ τοῦ εὐαγγελίου Ἰησοῦ Χριστοῦ	1	Selon vous, pourquoi Marc appelle-t-il cela **le commencement** de la Bonne Nouvelle de Jésus-Christ ?	
1:1	x3em	basic,observe	τοῦ εὐαγγελίου Ἰησοῦ Χριστοῦ	1	Le terme **Bonne Nouvelle** peut également être traduit par **Évangile**. Qu'est-ce que cela nous apprend sur la **Bonne Nouvelle de Jésus-Christ** ?	
1:1	e417	basic,interpret	Ἰησοῦ Χριστοῦ, Υἱοῦ Θεοῦ	1	Pourquoi Marc désigne-t-il **Jésus-Christ** comme **le Fils de Dieu** ?	
1:2	v5b9	basic,apply	καθὼς γέγραπται ἐν τῷ Ἠσαΐᾳ τῷ προφήτῃ	1	Des siècles plus tôt, **Ésaïe** a parlé des événements qui se produiraient lors de la venue de Jésus. Comment cela affecte-t-il ta compréhension de qui est Jésus ?	
1:2	ukts	basic,observe	ἰδοὺ	1	**Voici** signifie que nous devons être particulièrement attentifs à ce qui va suivre. Qu'est-ce que c'est ?	
1:2	ji90	basic,interpret	ἀποστέλλω τὸν ἄγγελόν μου	1	Qui est celui qui envoie son messager ?	
1:2	cu3r	basic,interpret	προσώπου σου & τὴν ὁδόν σου	1	Qui est celui dont le messager préparera le chemin ?	
1:3	lab1	basic,interpret	φωνὴ βοῶντος ἐν τῇ ἐρήμῳ, ἑτοιμάσατε τὴν ὁδὸν Κυρίου, εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ	1	À qui s'adresse la **voix** ?	
1:3	lk5q	basic,interpret	ἑτοιμάσατε τὴν ὁδὸν Κυρίου, εὐθείας ποιεῖτε τὰς τρίβους αὐτοῦ	1	Les expressions **Préparez le chemin pour le Seigneur** et **Rendez droits ses sentiers** sont deux façons de dire la même chose. Que demande précisément le messager à ses auditeurs ?	
1:3-4	y2uy	basic,observe	ἐγένετο Ἰωάννης, ὁ βαπτίζων ἐν τῇ ἐρήμῳ	1	Sinon, comment **Jean**, qui est venu **dans le désert**, est-il décrit au verset 3 ?	
1:4	rj9f	basic,observe	κηρύσσων βάπτισμα μετανοίας εἰς ἄφεσιν ἁμαρτιῶν	1	Quel est le but du **baptême** que Jean a annoncé ?	
1:5	nhz7	basic,observe	ἐξεπορεύετο πρὸς αὐτὸν πᾶσα ἡ Ἰουδαία χώρα καὶ οἱ Ἱεροσολυμεῖται πάντες, καὶ ἐβαπτίζοντο ὑπ’ αὐτοῦ ἐν τῷ Ἰορδάνῃ ποταμῷ, ἐξομολογούμενοι τὰς ἁμαρτίας αὐτῶν	1	Comment les habitants de **Jérusalem** et de la **Judée** ont-ils réagi au message de Jean ?	
1:5	cp80	basic,observe	ἐβαπτίζοντο ὑπ’ αὐτοῦ ἐν τῷ Ἰορδάνῃ ποταμῷ	1	Où est-ce que Jean baptisait les gens ?	
1:5	at5s	basic,interpret	ἐβαπτίζοντο ὑπ’ αὐτοῦ ἐν τῷ Ἰορδάνῃ ποταμῷ, ἐξομολογούμενοι τὰς ἁμαρτίας αὐτῶν	1	Selon vous, pourquoi les gens **reconnaissaient leurs péché** lorsque Jean les baptisait ?	
1:6	h32u	basic,interpret	ἐνδεδυμένος τρίχας καμήλου, καὶ ζώνην δερματίνην περὶ τὴν ὀσφὺν αὐτοῦ	1	Que nous dit le style vestimentaire de Jean à propos de son statut parmi les gens de son époque ?	
1:6	m89w	basic,interpret	ἔσθων ἀκρίδας καὶ μέλι ἄγριον	1	Selon vous, pourquoi Jean mangeait-il **des sauterelles et du miel sauvage** lorsqu'il vivait dans le désert ?	
1:7-9	js9m	basic,observe	ἔρχεται ὁ ἰσχυρότερός μου ὀπίσω μου & ἐγένετο ἐν ἐκείναις ταῖς ἡμέραις, ἦλθεν Ἰησοῦς	1	D'après le verset 9, qui était celui **plus fort** que Jean, et qui venait après Jean ?	
1:7	h97z	basic,interpret	οὗ οὐκ εἰμὶ ἱκανὸς, κύψας λῦσαι τὸν ἱμάντα τῶν ὑποδημάτων αὐτοῦ	1	Jean est clairement en train d'exagérer en disant qu'il n'est pas digne de délier les sandales de Jésus. Que veut-il dire par cette affirmation ?	
1:8	zvql	basic,observe	ἐγὼ ἐβάπτισα ὑμᾶς ὕδατι, αὐτὸς δὲ βαπτίσει ὑμᾶς ἐν Πνεύματι Ἁγίῳ	1	Quelle est, selon Jean, la différence entre son baptême et le baptême que Jésus fera ?	
