Reference	ID	Tags	Quote	Occurrence	Question	Response	Question
front:intro	pla1			0	# Questions d'étude sur l'Évangile de Marc. Posez-vous les questions suivantes en lisant attentivement ce livre, et priez Dieu qu'il vous ouvre les yeux afin que vous perceviez clairement son message.		# Philippians Study Questions\n\nAsk yourself these questions as you carefully read this letter, and pray to God that he will open your eyes to see his message clearly.
1:1	uk55	basic,interpret	Παῦλος καὶ Τιμόθεος	1	Pourquoi **Paul** mentionne-t-il **Timothée** comme co-auteur de cette lettre ?		Why might **Paul** be including **Timothy** as a co-author of this letter?
1:1	f1b5	basic,observe	δοῦλοι Χριστοῦ Ἰησοῦ	1	Quel titre Paul utilise-t-il pour se présenter et présenter Timothée ?		What title does Paul use to describe himself and Timothy?
1:1	qhd9	basic,observe	πᾶσιν τοῖς ἁγίοις ἐν Χριστῷ Ἰησοῦ τοῖς οὖσιν ἐν Φιλίπποις	1	Quel terme Paul utilise-t-il pour décrire les croyants **qui sont à Philippes** ?		What term did Paul use to describe the believers **at Philippi**?
1:1	hyp6	basic,interpret	σὺν ἐπισκόποις καὶ διακόνοις	1	Selon vous, pourquoi Paul s'adresse-t-il particulièrement aux **responsables et** aux **gestionnaires** dans cette lettre ?		Why do you think Paul especially mentioned **the overseers and deacons** in this letter?
1:2	hud2	basic,observe	χάρις ὑμῖν καὶ εἰρήνη	1	Quelles sont les deux choses que Paul souhaitait pour les croyants de Philippes ?		What two things did Paul desire for the believers at Philippi?
1:2	z9dq	basic,observe	χάρις ὑμῖν καὶ εἰρήνη ἀπὸ Θεοῦ Πατρὸς ἡμῶν καὶ Κυρίου Ἰησοῦ Χριστοῦ	1	De qui proviennent la **grâce** et la **paix** ?		Who is the source of **Grace** and **peace**?
1:3	l000	basic,observe	εὐχαριστῶ τῷ Θεῷ μου ἐπὶ πάσῃ τῇ μνείᾳ ὑμῶν	1	Pourquoi Paul **remercie**-t-il son **Dieu** ?		What caused Paul to **thank** his **God**?
1:4-5	fud1	basic,observe	μετὰ χαρᾶς τὴν δέησιν ποιούμενος, & ἐπὶ τῇ κοινωνίᾳ ὑμῶν εἰς τὸ εὐαγγέλιον, ἀπὸ τῆς πρώτης ἡμέρας ἄχρι τοῦ νῦν	1	Pourquoi Paul priait-il **avec joie** ?		What was the reason that Paul prayed **with joy**?
1:5	l001	basic,interpret	τῇ κοινωνίᾳ ὑμῶν εἰς τὸ εὐαγγέλιον, ἀπὸ τῆς πρώτης ἡμέρας ἄχρι τοῦ νῦν	1	De quelle manière les Philippiens ont-ils participé **au projet commun qui fait avancer l'Évangile** avec Paul, **depuis le début, jusqu'à aujourd'hui** ?		In what way might the Philippians have had a **partnership** with Paul **in the gospel from the first day until now**?
1:6	nr63	basic,observe	ὅτι ὁ ἐναρξάμενος ἐν ὑμῖν ἔργον ἀγαθὸν, ἐπιτελέσει ἄχρι ἡμέρας Χριστοῦ Ἰησοῦ	1	Quelle est la réalité dont Paul est devenu confiant au sujet des Philippiens ?		What was the truth about which Paul had become confident concerning the Philippians?
1:6	vhj8	basic,interpret	ὁ ἐναρξάμενος ἐν ὑμῖν ἔργον ἀγαθὸν	1	Quel était le **bon travail** que Dieu avait commencé dans les croyants philippins ?		What was the **good work** which God had begun in the Philippian believers?
1:6	h7q1	basic,interpret	ἐπιτελέσει ἄχρι ἡμέρας Χριστοῦ Ἰησοῦ	1	Que signifie-t-il pour Dieu de **poursuivre** ce travail **jusqu'au bout** parmi les Philippiens ?		What does it mean for God to **carry** this work **on to completion** in the Philippians?
1:7	l002	basic,observe	ἔν τε τοῖς δεσμοῖς μου, καὶ ἐν τῇ ἀπολογίᾳ καὶ βεβαιώσει τοῦ εὐαγγελίου, συνκοινωνούς μου τῆς χάριτος πάντας ὑμᾶς ὄντας	1	Qu'ont fait les Philippiens pour que Paul ait des sentiments élogieux à leur égard et les ait dans son cœur ?		What had the Philippians done in order to cause Paul to think positively about them and to have them in his heart?
1:7	l003	basic,interpret	ἔν τε τοῖς δεσμοῖς μου, καὶ ἐν τῇ ἀπολογίᾳ καὶ βεβαιώσει τοῦ εὐαγγελίου, συνκοινωνούς μου τῆς χάριτος	1	De quelle manière pensez-vous que les croyants de Philippes ont été **participants avec** Paul **de la grâce** lors de son arrestation et de ses épreuves ?		In what way do you think the Philippian believers were **partners in grace** with Paul during his arrest and trials?
1:8	gb16	basic,interpret	μάρτυς γάρ μου ὁ Θεός	1	Quel effet cela a-t-il pu avoir sur les Philippiens lorsque Paul a fait appel à Dieu pour qu'il soit **témoin** de son amour pour eux ?		What affect might it have had on the Philippians when Paul called upon God to be his **witness** to his love for them?
1:8	l004	basic,apply	ὡς ἐπιποθῶ πάντας ὑμᾶς ἐν σπλάγχνοις Χριστοῦ Ἰησοῦ	1	Que veut dire Paul lorsqu'il affirme qu'il aime les Philippiens **avec l'affection profonde du Christ Jésus-Christ** ?		What does Paul mean when he says that he longs for the Philippians **with the affection of Christ Jesus**?
1:9	a4q9	basic,observe	καὶ τοῦτο προσεύχομαι, ἵνα ἡ ἀγάπη ὑμῶν ἔτι μᾶλλον καὶ μᾶλλον περισσεύῃ	1	Quel domaine de la vie des Philippiens Paul souhaitait-il voir grandir **de plus en plus** ?		What did Paul want to **abound more and more**?
1:9	l228	basic,interpret	ἵνα ἡ ἀγάπη ὑμῶν ἔτι μᾶλλον καὶ μᾶλλον περισσεύῃ ἐν ἐπιγνώσει καὶ πάσῃ αἰσθήσει	1	Pourquoi était-il important pour Paul que l'**amour** des croyants de Philippes s'accompagne **de connaissance, et de discernement en tout** ?		Why was important to Paul that the **love** of the Philippian believers would increase **in knowledge and depth of insight**?
1:9-10	gzw1	basic,interpret	ἐν ἐπιγνώσει καὶ πάσῃ αἰσθήσει, & εἰς τὸ δοκιμάζειν ὑμᾶς τὰ διαφέροντα	1	Comment la **connaissance** et le **discernement en tout** permettraient-ils aux Philippiens de distinguer **les meilleures choses** ?		How would **knowledge and depth of insight** enable the Philippians to **prove what is best**?
01:10	d3ua	basic,observe	ἵνα ἦτε εἰλικρινεῖς καὶ ἀπρόσκοποι εἰς ἡμέραν Χριστοῦ	1	Ici, **pour que** introduit le but pour lequel Paul veut que les Philippiens soient capables de distinguer les meilleures choses. Quel est ce but ?		Here **so that** introduces the purpose for which Paul wants the Philippians to be able to approve what excels. What is that purpose?
01:10	nnu9	basic,interpret	εἰς ἡμέραν Χριστοῦ	1	Que désigne le **jour du Christ** dont parle Paul ?		What is **the day of Christ** to which Paul refers?
01:11	uu87	basic,observe	πεπληρωμένοι καρπὸν δικαιοσύνης	1	De quoi les Philippiens seront-ils remplis s'ils sont **purs** et **inattaquables** ?		What will fill the Philippians if they are pure and blameless?
01:11	l009	basic,interpret	καρπὸν δικαιοσύνης	1	À quelle catégorie de choses le **fruit de la justice** renvoie-t-il ?		To what kind of things does **the fruit of righteousness** refer?
01:11	csc9	basic,observe	καρπὸν δικαιοσύνης τὸν διὰ Ἰησοῦ Χριστοῦ	1	D'où vient le **fruit de la justice** ?		What is the source of **the fruit of righteousness**?
01:11	c7cj	basic,observe	εἰς δόξαν καὶ ἔπαινον Θεοῦ	1	Dans quel but Jésus nous donne-t-il le fruit de la justice ?		For what purpose does Jesus give us the fruit of righteousness?
