JUD	front	intro	xh5n	JUD_front_intro_xh5n		# Introduction à Jude<br><br>## Première partie : Introduction générale<br><br>#### Schéma du livre de Jude<br><br>1. Introduction (1:1-2)<br>2. Mise en garde contre les faux enseignants (1:3-4)<br>3. Comparaison des faux enseignants aux exemples de l’Ancien Testament (1:5-16)<br>4. Exhortation à mener une vie pieuse en réponse (1:17-23)<br>5. Louanges à Dieu (1:24-25)<br><br>### Qui a écrit le livre de Jude?<br><br>L’auteur s’est identifié comme étant Jude, le frère de Jacques. Jude et Jacques étaient tous deux des demi-frères de Jésus. On ignore si cette lettre était destinée à une église spécifique.<br><br>### De quoi parle le livre de Jude?<br><br>Jude a écrit cette lettre pour mettre en garde les croyants contre les faux enseignants. Jude fait souvent référence à l’Ancien Testament. Cela peut suggérer que Jude écrivait à un public chrétien juif. Cette lettre et 2 Pierre ont un contenu similaire. Elles parlent toutes deux des anges, de Sodome et Gomorrhe, et des faux enseignants.<br><br>### Comment traduire le titre de ce livre?<br><br>Les traducteurs peuvent choisir d’appeler ce livre par son titre traditionnel, “Jude”. Ou ils peuvent choisir un titre plus clair, tel que “La lettre de Jude” ou “La lettre que Jude a écrite.” (Voir : [[rc://fr/ta/man/translate/translate-names]])<br><br>## Partie 2 : Concepts religieux et culturels importants<br><br>#### Qui étaient les personnes contre lesquelles Jude s’est exprimé ?<br><br>Il est possible que les personnes contre lesquelles Jude s’est exprimé étaient celles qui seraient plus tard connues sous le nom de gnostiques. Ces enseignants déformaient les enseignements de l’Écriture pour leur propre profit. Ils vivaient de façon immorale et enseignaient aux autres à faire de même.<br><br>## Partie 3 : Questions importantes de traduction<br><br>### Singulier et pluriel “vous”<br><br>Dans ce livre, le mot “je” fait référence à Jude. De même, le mot “vous” est toujours au pluriel et fait référence à l’auditoire de Jude. (Voir : [[rc://fr/ta/man/translate/figs-exclusive]] et [[rc://fr/ta/man/translate/figs-you]])<br><br>###Quels sont les problèmes majeurs du texte du livre de 2 Pierre ?<br><br>Pour le verset suivant, il existe des différences entre certains manuscrits anciens. Le texte ULT suit la lecture que la plupart des érudits considèrent comme originale et met l’autre lecture dans une note de bas de page. Si une traduction de la Bible existe dans la langue de communication la plus répandue dans la région, les traducteurs peuvent envisager d’utiliser la lecture trouvée dans cette version. Sinon, il est conseillé aux traducteurs de suivre la lecture de l’ULT.<br>* “que Jésus, ayant sauvé un peuple du pays d’Égypte” [(v. 5)](../01/05.md). Certains manuscrits anciens ont : “que le Seigneur, ayant sauvé un peuple du pays d’Égypte” <br><br>(Voir : [[rc://fr/ta/man/translate/translate-textvariants]]).
JUD	1	1	ek3q	JUD_1_1_ek3q	Ἰούδας	Dans cette culture, les auteurs de lettres donnent d’abord leur propre nom et se réfèrent à eux-mêmes à la troisième personne. Si cela peut prêter à confusion dans votre langue, vous pouvez utiliser la première personne. Si votre langue a une façon particulière de présenter l’auteur d’une lettre, vous pouvez également l’utiliser. Traduction alternative : “Je, Jude, écris cette lettre” ou “De Jude” (Voir : [[rc://fr/ta/man/translate/figs-123person]])
JUD	1	1	npc3	JUD_1_1_npc3	Ἰούδας	**Jude** est le nom d’un homme, le frère de Jacques. Voir les informations le concernant dans la première partie de l’introduction à Jude. (Voir : [[rc://fr/ta/man/translate/translate-names]])
JUD	1	1	zov5	JUD_1_1_zov5	Ἰησοῦ Χριστοῦ δοῦλος, ἀδελφὸς δὲ Ἰακώβου	Ces phrases donnent des informations supplémentaires sur Jude. Il se décrit comme étant à la fois **un serviteur de Jésus-Christ** et **un frère de Jacques**. Cela le distingue des deux autres hommes nommés Jude dans le Nouveau Testament, que les traductions anglaises distinguent généralement de Jude en traduisant leurs noms par “Judas”. (Voir : [[rc://fr/ta/man/translate/figs-distinguish]])
JUD	1	1	m3v1	JUD_1_1_m3v1	ἀδελφὸς…Ἰακώβου	**Jacques** et Jude étaient des demi-frères de Jésus. Joseph était leur père physique, mais il n’était pas le père physique de Jésus. Si vos lecteurs comprenaient mal cette relation, vous pourriez l’exprimer explicitement. Traduction alternative : “un frère de Jacques, tous deux étant demi-frères de Jésus” (Voir : [[rc://fr/ta/man/translate/figs-explicit]])
JUD	1	1	p5yl	JUD_1_1_p5yl	τοῖς	Dans cette culture, après avoir donné leur propre nom, les auteurs de lettres disaient ensuite à qui ils écrivaient, en nommant ces personnes à la troisième personne. Si cela peut prêter à confusion dans votre langue, vous pouvez utiliser la deuxième personne. Autre traduction : “à vous qui êtes” (Voir : [[rc://fr/ta/man/translate/figs-123person]])
JUD	1	1	din3	JUD_1_1_din3	κλητοῖς	Que ces personnes aient été **appelées** implique que Dieu les a appelées et sauvées. Traduction alternative : “et que Dieu a appelés et sauvés” (Voir : [[rc://fr/ta/man/translate/figs-explicit]])
JUD	1	1	gorg	JUD_1_1_gorg	ἐν Θεῷ Πατρὶ ἠγαπημένοις	Si votre langue n’utilise pas cette forme passive, vous pouvez l’exprimer avec une forme active. Traduction alternative : “que Dieu le Père aime” (Voir : [[rc://fr/ta/man/translate/figs-activepassive]])
JUD	1	1	rih9	JUD_1_1_rih9	Θεῷ Πατρὶ	**Père** est un titre important pour Dieu. (Voir : [[rc://fr/ta/man/translate/guidelines-sonofgodprinciples]])
JUD	1	1	s3oh	JUD_1_1_s3oh	Ἰησοῦ Χριστῷ τετηρημένοις κλητοῖς	Si votre langue n’utilise pas la forme passive **gardé {et} appelé**, vous pourriez exprimer cela avec une forme active. Traduction alternative : “ceux que Jésus-Christ garde et appelle” (Voir : [[rc://fr/ta/man/translate/figs-activepassive]])
JUD	1	2	wjsn	JUD_1_2_wjsn	ἔλεος ὑμῖν, καὶ εἰρήνη, καὶ ἀγάπη πληθυνθείη.	Dans cette culture, les auteurs de lettres offraient un bon souhait au destinataire avant d’introduire l’objet principal de la lettre. Utilisez une formule dans votre langue qui indique clairement qu’il s’agit d’une salutation et d’une bénédiction. Traduction alternative : “Que Dieu augmente sa miséricorde, sa paix et son amour pour vous” (Voir : [[rc://fr/ta/man/translate/translate-blessing]])
