Book	Chapter	Verse	ID	SupportReference	OrigQuote	Occurrence	GLQuote	OccurrenceNote
LUK	front	intro	uk55			0		# Introduction à l’évangile de Luc<br><br>## Première partie : Introduction générale<br><br>#### Plan du livre de Luc<br><br>1. Dédicace à Théophile (1:1-4)<br>2. Prologue<br> * La naissance de Jean le Baptiste (1:5-80)<br> * La naissance et la jeunesse de Jésus (2:1-51)<br> * Le ministère de Jean le Baptiste (3:1-20)<br> * Le baptême, la généalogie et la tentation de Jésus (3:21-4:13)<br>3. Le ministère d’enseignement et de guérison de Jésus en Galilée (4:14-9:50)<br>4. Jésus enseigne tout au long de son voyage vers Jérusalem<br> * Le jugement de Dieu, et les jugements des gens sur Jésus (9:51-13:21)<br> * Qui fera partie du royaume de Dieu (13:22-17:10)<br> * Répondre à Jésus en l’accueillant ou en le rejetant (17:11-19:27)<br>5. Jésus à Jérusalem<br> * L’entrée de Jésus à Jérusalem (19:28-44)<br> * Jésus enseigne dans le temple : conflit sur son identité et son autorité (19:45-21:38)<br> * La mort, l’ensevelissement et la résurrection de Jésus (22:1-24:53)<br><br>### De quoi parle l’Évangile de Luc ? <br><br>L’Évangile de Luc est l’un des quatre livres du Nouveau Testament qui décrivent la vie et les enseignements de Jésus-Christ. Ces livres sont appelés “évangiles”, ce qui signifie “bonne nouvelle”. Leurs auteurs ont écrit sur différents aspects de qui était Jésus et de ce qu’il a fait. Luc a écrit son Évangile pour une personne nommée Théophile et le lui a dédié. Luc a écrit une description précise de la vie et des enseignements de Jésus afin que Théophile soit certain que ce qu’on lui avait appris sur Jésus était vrai. Cependant, Luc s’attendait à ce que ce qu’il a écrit encourage tous les disciples de Jésus.<br><br>### Comment traduire le titre de ce livre ?<br><br>Les traducteurs peuvent choisir d’appeler ce livre par son titre traditionnel, “L’Évangile de Luc” ou “L’Évangile selon Luc”. Ou ils peuvent choisir un titre différent, tel que “La bonne nouvelle sur Jésus que Luc a écrite.” (Voir : [[rc://fr/ta/man/translate/translate-names]])<br><br>### Qui a écrit le livre de Luc ?<br><br>Ce livre ne donne pas le nom de son auteur. Cependant, la même personne qui a écrit ce livre a également écrit le livre des Actes, qui est également dédié à Théophile. Dans certaines parties du livre des Actes, l’auteur utilise le mot “nous”. Cela indique que l’auteur a voyagé avec Paul. La plupart des spécialistes pensent que Luc était cette personne qui voyageait avec Paul. Par conséquent, depuis les premiers temps du christianisme, la plupart des chrétiens ont reconnu Luc comme l’auteur à la fois de l’Évangile de Luc et du livre des Actes.<br><br>Luc était un médecin. Sa façon d’écrire montre qu’il était un homme instruit. Il était probablement un païen. Luc lui-même n’a probablement pas été témoin de ce que Jésus a dit et fait. Mais il dit à Théophile dans sa dédicace qu’il a parlé à de nombreuses personnes qui l’ont fait.<br><br>## Partie 2 : Concepts religieux et culturels importants<br><br>### Le royaume de Dieu<br><br>“Le royaume de Dieu” est un concept majeur dans l’Évangile de Luc. Il est très riche en signification. Il comprend l’idée de la vie éternelle en présence de Dieu, mais aussi l’idée de ce que sera la terre dans le futur lorsque Dieu régira tout, et l’idée de la vie sur terre dès maintenant, quand et où les volontés de Dieu sont pleinement exécutées. Le concept unificateur de toutes ces idées est celui de Dieu qui gouverne et de l’homme qui accepte la domination de Dieu sur sa vie. Partout où l’expression “le royaume de Dieu” apparaît, les notes de traduction suggèrent de communiquer l’idée derrière le nom abstrait “royaume” avec une phrase qui utilise le verbe “gouverner”. L’UST adopte cette approche de manière cohérente. (Voir : [[rc://fr/ta/man/translate/figs-abstractnouns]])<br><br>### Pourquoi Luc écrit autant sur la dernière semaine de la vie de Jésus ?<br><br>Luc a beaucoup écrit sur la dernière semaine de Jésus. Il voulait que ses lecteurs réfléchissent profondément à la dernière semaine de Jésus et à sa mort sur la croix. Il voulait que les gens comprennent que Jésus est mort volontairement sur la croix pour que Dieu puisse leur pardonner d’avoir péché contre lui. (Voir : [[rc://fr/tw/dict/bible/kt/sin]])<br><br>#### Quels sont les rôles des femmes dans l’Évangile de Luc ?<br><br>Luc décrit les femmes de manière très positive dans son Évangile. Par exemple, il a souvent montré des femmes plus fidèles à Dieu que la plupart des hommes. (Voir : [[rc://fr/tw/dict/bible/kt/faithful]])<br><br>## Partie 3 : Questions importantes de traduction<br><br>#### Que sont les Évangiles synoptiques ?<br><br>Les Évangiles de Matthieu, Marc et Luc sont appelés les Évangiles synoptiques parce qu’ils racontent l’histoire de plusieurs des mêmes événements. Le mot “synoptique” signifie “voir ensemble”.<br><br>Les passages sont considérés comme “parallèles” lorsqu’ils sont identiques ou presque identiques parmi deux ou trois Évangiles. Lorsqu’ils traduisent des passages parallèles, les traducteurs doivent utiliser la même formulation et les rendre aussi semblables que possible.<br><br>### Pourquoi Jésus se désigne comme le “Fils de l’homme” ?<br><br>Dans les évangiles, Jésus se désigne comme le “Fils de l’homme”. Il s’agit d’une référence à [Daniel 7:13-14](../dan/07/13.md). Dans ce passage, une personne est décrite comme un “fils de l’homme”. Cela signifie que la personne était quelqu’un qui ressemblait à un être humain. Dieu a donné l’autorité à ce “fils de l’homme” pour régner sur les nations pour toujours. Tous les peuples l’adoreront pour toujours.<br><br>Les Juifs de l’époque de Jésus n’utilisaient pas “fils de l’homme” comme titre pour qui que ce soit. Mais Jésus l’a utilisé pour lui-même afin de les aider à comprendre qui il était vraiment. (Voir : [[rc://fr/tw/dict/bible/kt/sonofman]])<br><br>Traduire le titre “Fils de l’homme” peut être difficile dans de nombreuses langues. Les lecteurs peuvent mal comprendre une traduction littérale. Les traducteurs peuvent envisager des alternatives, telles que “L’humain”. Il peut également être utile d’inclure une note de bas de page pour expliquer le titre.<br><br>#### Questions majeures dans le texte du livre de Luc<br><br>ULT suit les lectures des anciens manuscrits les plus précis de la Bible. Cependant, il peut déjà exister des versions anciennes de la Bible dans les régions des traducteurs qui suivent les lectures d’autres manuscrits. Dans les cas les plus significatifs, les notes générales des chapitres dans lesquels ces différences apparaissent en discuteront et recommanderont des approches. (Voir : [[rc://fr/ta/man/translate/translate-textvariants]])
LUK	1	intro	f1b5			0		# Luc 1 Notes générales<br><br>## Structure et mise en forme<br><br>1. Dédicace à Théophile (1:1-4)<br>2. L’ange Gabriel annonce à Zacharie que sa femme Elisabeth va enfanter un fils, Jean le Baptiste (1:5-25)<br>3. L’ange Gabriel annonce à Marie qu’elle va devenir la mère de Jésus (1:26-38)<br>4. Marie va rendre visite à Elisabeth (1:39-56)<br>5. Jean le Baptiste naît (1:57-80)<br><br>Certaines traductions placent chaque ligne de poésie plus à droite que le reste du texte pour en faciliter la lecture. ULT le fait avec la poésie du chant de Marie qui devient la mère de Jésus en 1:46-55 et du chant de Zacharie sur la naissance de son fils Jean-Baptiste en 1:68-79.<br><br>## Notions spéciales dans ce chapitre<br><br>#### “On l’appellera Jean”<br><br>La plupart des gens du Proche-Orient ancien donnaient à un enfant le même nom que quelqu’un de leur famille. Les gens ont été surpris qu’Elizabeth et Zacharie aient nommé leur fils Jean parce qu’il n’y avait personne d’autre dans leur famille portant ce nom.
LUK	1	1	qhd9	figs-activepassive	περὶ τῶν πεπληροφορημένων ἐν ἡμῖν πραγμάτων	1	concerning the things that have been fulfilled among us	Si vos lecteurs se méprennent, vous pouvez l’exprimer avec une forme active. Traduction alternative : “sur ces choses qui se sont passées parmi nous” (Voir : [[rc://fr/ta/man/translate/figs-activepassive]])
LUK	1	1	hyp6	figs-exclusive	ἐν ἡμῖν	1	among us	Luc dédie ce livre à un homme nommé Théophile. On ne sait plus exactement qui il était. Mais puisque Luc dit dans [1:4](../01/04.md) qu’il veut que Théophile sache que les choses qu’on lui a enseignées sont fiables, il semble qu’il était un disciple de Jésus. Donc ici le mot **nous** l’inclurait. (Voir : [[rc://fr/ta/man/translate/figs-exclusive]])
LUK	1	2	hud2	figs-metonymy	οἱ…αὐτόπται…γενόμενοι	1	who … were eyewitnesses	Le terme **témoin oculaire** décrit une personne qui a vu quelque chose se produire personnellement, “de ses propres yeux”. Le terme décrit une telle personne au sens figuré par référence à un élément associé à la vue, l’œil. Traduction alternative : “qui ... a vu ces choses personnellement” (voir : [[rc://fr/ta/man/translate/figs-metonymy]]).
LUK	1	2	z9dq	figs-metonymy	ὑπηρέται…τοῦ λόγου	1	servants of the word	Ici, le mot **>** décrit de manière figurative les choses que les personnes qui ont apporté le message ont transmises en utilisant des mots. Traduction alternative : “les serviteurs du message” (Voir : [[rc://fr/ta/man/translate/figs-metonymy]])
LUK	1	2	l000	figs-metaphor	ὑπηρέται…τοῦ λόγου	1	servants of the word	Les personnes qui ont apporté ce message servaient réellement Dieu en faisant cela. Mais Luc les décrit au sens figuré comme **serviteurs de la parole**, comme s’ils servaient le message de Dieu. Traduction alternative : “servaient Dieu en transmettant son message aux gens” (Voir : [[rc://fr/ta/man/translate/figs-metaphor]])
LUK	1	3	fud1	writing-background	παρηκολουθηκότι ἄνωθεν πᾶσιν ἀκριβῶς	1	having carefully investigated everything from the beginning	Luc fournit ces informations de base pour expliquer qu’il a pris soin de découvrir exactement ce qui s’est passé. Il a probablement parlé à différentes personnes qui ont vu ce qui s’est passé pour s’assurer que ce qu’il a écrit sur ces événements était correct. Traduction alternative : “parce que j’ai mené des recherches et des entretiens minutieux” (Voir : [[rc://fr/ta/man/translate/writing-background]])
LUK	1	3	l001	figs-youformal	σοι…κράτιστε Θεόφιλε	1	you … most excellent Theophilus	Si votre langue a une forme formelle de **vous** qu’elle utilise pour s’adresser respectueusement à un supérieur, il serait approprié d’utiliser cette forme ici. Il existe de nombreux autres endroits dans le livre de Luc où votre langue pourrait utiliser la forme formelle **you**, et ces notes ne les aborderont pas tous. Plutôt, lorsque vous traduisez, utilisez le formel et l’informel **vous** de la manière qui serait la plus naturelle dans votre langue. Les notes aborderont quelques cas où une décision prudente doit être prise entre les deux formes. (Voir : [[rc://fr/ta/man/translate/figs-youformal]])
LUK	1	3	nr63		κράτιστε Θεόφιλε	1	most excellent Theophilus	Luc dédie cet ouvrage à Théophile, et dans sa dédicace, voici la salutation personnelle conventionnelle. Si cela était plus habituel dans votre langue et votre culture, vous pourriez mettre cette salutation en [1:1](../01/01.md) au début de la dédicace, au tout début du livre. Traduction alternative : “Au très excellent Théophile”
